Ticker,Company,Sector,Industry,Market Cap (€B),Price (€),Currency,P/E Ratio,Forward P/E,P/B Ratio,PEG Ratio,Net Income (€M),Profit Margin,ROE,ROA,Dividend Yield,Payout Ratio,Beta,Debt/Equity,Current Ratio,EPS
SOLV.BR,Solvac S.A.,Basic Materials,Chemicals,1.752752768,82.0,EUR,16.734694,6.142322,0.6965208,,125.929,25185.8,,,14.17,0.7114,0.531,5.961,0.689,4.9
KIN.BR,Kinepolis Group NV,Communication Services,Entertainment,0.79443392,29.7,EUR,17.068966,10.090611,3.9721813,,47.316,0.07975,0.24715,0.05268,1.85,0.3161,0.442,350.82,0.469,1.74
CENER.BR,Cenergy Holdings SA,Industrials,Electrical Equipment & Parts,3.163456256,14.9,EUR,17.126436,13.860464,4.0522165,,186.822,0.089700006,,,0.94,0.16139999,0.844,88.0,,0.87
MELE.BR,Melexis NV,Technology,Semiconductors,2.28630272,56.7,EUR,17.5,16.515541,4.292853,,108.21032,0.13156,0.1899,0.08939999,6.53,1.142,1.421,53.48,5.329,3.24
TITC.BR,Titan S.A.,Basic Materials,Building Materials,3.711573248,49.9,EUR,17.82143,,1.9329847,,235.408,0.0881,0.1349,0.08327,2.0,0.35709998,0.704,34.186,2.304,2.8
KBCA.BR,KBC Ancora SA,Financial Services,Asset Management,5.652668928,73.4,EUR,17.90244,15.717345,1.6019206,,315.434752,46538.03,0.08997,-0.00055,4.78,0.85690004,0.61,2.834,52.81,4.1
TEXF.BR,Texaf S.A.,Real Estate,Real Estate Services,0.135662608,37.0,EUR,17.961166,19.072165,1.217626,,7.532,0.22229,0.0673,0.04033,4.75,0.8534,0.124,17.109,0.836,2.06
FAGR.BR,Fagron NV,Healthcare,Drug Manufacturers - Specialty & Generic,1.556403712,21.25,EUR,18.162394,14.358108,3.0990229,,85.687,0.093260005,0.17533001,0.08059,1.65,0.2991,0.262,80.022,1.765,1.17
ELI.BR,Elia Group SA/NV,Utilities,Utilities - Regulated Electric,11.85326592,108.7,EUR,18.177258,18.36161,1.6184024,,509.3,0.1297,0.087749995,0.03215,1.79,0.32490003,0.742,192.154,1.507,5.98
DIE.BR,D'Ieteren Group SA,Consumer Cyclical,Auto & Truck Dealerships,7.993389056,150.6,EUR,18.188408,10.831385,-51.575344,,445.0,0.05685,0.27451,0.03729,1.06,0.19299999,0.882,,1.208,8.28
SOLB.BR,Solvay SA,Basic Materials,Chemicals,2.837314304,27.02,EUR,18.50685,9.292504,2.3444686,,154.0,0.03139,0.12582,0.04928,8.99,1.6644,0.257,174.545,1.413,1.46
DECB.BR,Deceuninck NV,Industrials,Building Products & Equipment,0.313069792,2.265,EUR,18.875002,7.7216787,0.9784017,,17.314,0.02194,0.05643,0.05412,3.53,0.6667,0.704,44.46,1.517,0.12
SOF.BR,Sofina Société Anonyme,Financial Services,Asset Management,8.997963776,245.2,EUR,20.657118,,0.8273134,,414.635008,0.85297996,0.042919997,0.025710002,1.42,0.2925,1.201,7.109,30.769,11.87
IBAB.BR,Ion Beam Applications SA,Healthcare,Medical Devices,0.355297344,12.14,EUR,20.931036,14.804878,3.2116404,,16.953,0.02894,0.16201,0.03894,1.98,0.4138,1.097,56.975,0.936,0.58
ABI.BR,Anheuser-Busch InBev SA/NV,Consumer Defensive,Beverages - Brewers,105.898491904,54.38,EUR,21.32549,15.246984,1.5495023,,6097.999872,0.104049996,,,2.11,0.3783,0.671,82.96,,2.55
SPA.BR,Spadel SA,Consumer Defensive,Beverages - Non-Alcoholic,0.946279808,228.0,EUR,21.693624,,2.9215412,,43.612,0.10904,0.14113,0.06695,1.4,0.3045,0.276,1.584,1.876,10.51
XIOR.BR,Xior Student Housing NV,Real Estate,REIT - Residential,1.316801792,28.2,EUR,22.741936,12.359368,0.7530241,,94.238,0.43028,0.05618,,6.27,1.4074,0.604,86.55,0.549,1.24
QRF.BR,Qrf Comm. VA,Real Estate,REIT - Retail,0.106064848,10.2,EUR,25.5,11.333333,0.65976715,,3.257,0.22834998,0.02665,0.02558,14.29,2.0488,0.344,84.594,0.073,0.4
OBEL.BR,Orange Belgium S.A.,Communication Services,Telecom Services,1.297684992,19.25,EUR,33.189655,94.122826,1.3481336,,37.349,0.01887,0.03926,0.02595,,0.0,0.324,218.388,0.49,0.58
UCB.BR,UCB SA,Healthcare,Biotechnology,44.75498496,235.5,EUR,34.379562,23.143938,4.6209087,,1332.0,0.19451,0.14295,0.04632,0.59,0.2026,0.223,29.722,1.354,6.85
ARGX.BR,argenx SE,Healthcare,Biotechnology,44.243431424,718.6,EUR,36.23802,29.942812,8.488304,,1533.245952,0.41627,,,,0.0,-0.112,0.708,,19.83
UMI.BR,Umicore SA,Industrials,Waste Management,4.2988416,17.87,EUR,36.469387,13.21775,2.1033428,,128.821,0.00799,0.07186,0.14606,2.8,1.0204,0.735,142.464,1.385,0.49
LOTB.BR,Lotus Bakeries NV,Consumer Defensive,Packaged Foods,6.301531136,7760.0,EUR,39.525288,33.822186,8.228917,,159.872,0.12393,0.21877001,0.10228,0.98,0.3865,0.482,36.777,1.07,196.33
ONTEX.BR,Ontex Group NV,Consumer Defensive,Household & Personal Products,0.359598144,4.51,EUR,50.11111,4.915478,0.38116974,,7.6,-0.05409,0.0081,0.03554,,0.0,0.568,72.772,0.988,0.09
BREB.BR,Brederode SA,Financial Services,Asset Management,3.1005312,105.8,EUR,61.871346,,0.7827991,,50.1,3.47675,0.0126600005,0.00791,1.29,0.80120003,0.616,,0.207,1.71
ENRGY.BR,,Utilities,Utilities - Renewable,0.665927616,10.998,EUR,68.7375,28.44286,18.299501,,10.443,0.087349996,,,,0.0,,147.988,0.851,0.16
GBLB.BR,Groupe Bruxelles Lambert SA,Financial Services,Asset Management,9.110413312,75.3,EUR,74.55446,32.042557,0.74982077,,139.9,-0.02004,,,6.64,4.9505,0.655,53.487,,1.01
FLOB.BR,Floridienne S.A.,Industrials,Conglomerates,0.62687616,640.0,EUR,77.481834,25.508171,1.7247605,,8.071,0.01122,0.027980002,0.03093,0.47,0.3034,0.229,58.406,1.842,8.26
RECT.BR,Recticel SA/NV,Industrials,Building Products & Equipment,0.54394784,9.64,EUR,87.63637,18.628021,1.2790235,,6.072,0.01735,0.01391,0.01932,3.22,2.8182,0.917,12.152,1.908,0.11
ROU.BR,Roularta Media Group NV,Communication Services,Publishing,0.154615216,12.55,EUR,96.53847,15.6875,0.7209743,,1.639,0.00532,0.00784,-0.00527,23.9,0.0,0.378,5.944,1.231,0.13
TUB.BR,Financière de Tubize SA,Healthcare,Biotechnology,9.303133184,209.0,EUR,100.00001,,4.805371,,92.738552,6995.44,0.04848,-0.00085,0.5,0.4992,0.398,,10.526,2.09
MOPF.BR,Mopoli Fond,Financial Services,Asset Management,0.899763968,9500.0,EUR,1000.0,,,,0.0,0.0,,,4.41,42.34,,,,9.5
